QTR,SCORE DIFF. (O),SITUATION (O),DRIVE #,DRIVE PLAY #,1ST DN #,DN,DIST,D&D,YARD LN,Field Zone,HASH,OFF TEAM,PERS,OFF FORM,BACKF SET,MOTION,PROTECTION,OFF PLAY,PLAY CATEGORY,RESULT,PLAY TYPE,PRE-SNAP READ,POST-SNAP READ,ZONE THROWN,GN/LS,DEF TEAM,DEF PERSONNEL,DEF FRONT,STUNT,BLITZ,NBR,COVERAGE,DEF ADJ
3,-38,OPENERS 2ND,9,2,0,2,7,2&7+,-15,Backed Up (-1 to -19),L,CONU,15,32,GW,1W ZIPPER,60 SOLID,"FLORIDA TRADE, TWIX",DROPBACK,Incomplete,Pass,,,DEEP 1/3 ST,0,LVL,30,BANDIT,,,4,MATCH,
1,-3,,2,2,0,2,2,2&2-,-18,Backed Up (-1 to -19),L,CONU,15,41,G0,4S BEND,,IZ BEND ST OPT SEATTLE,RPO,,Run,BUBBLE SCREEN ST (#),,,-2,SHER,NICKEL 30,EVEN,,,4,35 DC,
4,-6,,11,2,0,2,4,2&3-6,-17,Backed Up (-1 to -19),L,CONU,15,32,G0,3S BEND,,IZ BEND ST OPT OHIO GO,RPO,Complete,Pass,,,FLAT WK,8,UDM,40,TRIO,2 CHASE,,5M,10,
3,-38,OPENERS 2ND,9,1,0,0,10,0&10,-12,Backed Up (-1 to -19),R,CONU,15,41,G0,4S REACH,,IZ ST OPT BUBBLE SCREEN WK,RPO,Rush,Run,SEATTLE WK (#),,,3,LVL,30,BANDIT,,,3,36,
1,0,OPENERS 1ST,1,2,0,2,5,2&3-6,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,3S BEND,PA 60 SOLID,"IZ LOCK ST PA JONES, APACHE",PA POCKET,Incomplete,Pass,,,CURL WK,0,SHER,40,BANDIT JET,,,3,36 DC,
1,-9,,5,2,0,2,6,2&3-6,-14,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SLIDE STR,"FLORIDA TRADE, JONES",QUICK,Scramble,Pass,,,,9,MCGILL,30,BANDIT,,WAFFLE,5M,COMBO,
3,-28,,11,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,G0,1W ZIP,60 SLIDE STR,"AUBURN, PLUNGE",DROPBACK,Complete,Pass,,,HOOK WK,0,LVL,40,WEAK,,,5W,34,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-19,Backed Up (-1 to -19),R,CONU,15,32,GW,,60 SOLID,JONES,DROPBACK,Incomplete,Pass,,,POST,0,MCGILL,40,JOKER,,,4,ROTATE SWITCH,
4,-2,2 MIN,13,1,0,0,10,0&10,-18,Backed Up (-1 to -19),M,CONU,15,23,GS,,60 SOLID,"AUBURN, OKLAHOMA",DROPBACK,Scramble,Pass,,,,10,UDM,40,BANDIT,,SAW,5S,43,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,3S BLAST,,IZ LOCK ST BLAST,RUN,Rush,Run,,,,15,LVL,30,BANDIT,,,5S,0,
2,-19,,5,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,GW,"T SCAT ST, 2W BOMBER",60 BOMBER SOLID,JONES-NASCAR SUB,DROPBACK,Complete,Pass,,,POST,19,LVL,40,WEAK,,,4,35 SC,
1,-3,,3,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,,,IZ ST READ OHIO-GO,RPO,,Run,,,,4,SHER,NICKEL 30,STETSON,,"J B+, JET",5W,34,
4,-19,,18,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SOLID,"SILVA, JONES",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,0,MCGILL,40,OUT,RAT/QK,,4,HALO,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,2W LEAD,,IZ LOCK ST BLAST OPT SEATTLE,RPO,Complete,Pass,HOTEL ST (# & LEVERAGE),,CURL ST,15,LVL,40,STRONG,,JET,5S,43,
2,-28,2 MIN,8,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,2W REACH,PA 70,"RACE R-HOTEL, Z-POST",PA POCKET,Incomplete,Pass,,,SEAM WK,0,LVL,30,BANDIT,,,3,36,
3,-25,,10,2,0,2,6,2&3-6,-30,Coming Out (-20 to -39),R,CONU,15,32,G0,,60 SLIDE STR,"FLORIDA TRADE, JONES",DROPBACK,Incomplete,Pass,,,CURL ST,11,LVL,40,COWBOY,,,6,10,
2,-21,,6,1,0,0,10,0&10,-14,Backed Up (-1 to -19),R,CONU,15,23,GS,1W ZIPPER,60 SOLID,"COD TRADE, FLORIDA",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,0,LVL,40,STRONG,,,4,MATCH,
1,-7,,3,2,1,1,10,1&10,-19,Backed Up (-1 to -19),L,CONU,15,32,G0,2W BEND,,IZ BEND WK,RUN,Rush,Run,"HOSS ST (EDGE CONTROL, LEVERAGE), SEATTLE WK (LEVERAGE)",,,11,UDM,40,EVEN,,,4,44,
2,3,,7,1,0,0,10,0&10,-13,Backed Up (-1 to -19),R,CONU,15,23,G0,,60 SOLID,"HOTEL, SILVA",DROPBACK,Complete,Pass,,,DEEP 1/3 WK,49,SHER,NICKEL 40,STETSON,,,5W,10,
3,-25,,10,1,0,0,10,0&10,-26,Coming Out (-20 to -39),R,CONU,15,32,G0,1W ZIPPER,,IZ ST READ JONES,RPO,,Run,,,,0,LVL,40,WEAK,,,4,"STUBBIE, BRACKET",
